facebookUrl,profileName,date,text,label
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Al Ammad,2023-10-30T23:44:05.000Z,Putra-putra terbaik bangsa… 👍👍👍,Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Soni,2023-11-04T07:21:26.000Z,Bapak2 pemersatu bangsa,Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Yans Witra,2023-11-02T04:25:57.000Z,"Keren banget ketiga kandidat Capres kumpul, kita yg dibawah semoga adem damai selalu menyambut pesta demokrasi🙏🏻👍🇮🇩",Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Widiantara I Nyoman,2023-11-03T11:50:37.000Z,Siapa pun presidennya harga beras tetap naik,Spam
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Samsul Hudi,2023-11-03T17:35:59.000Z,Mantap pak kalian pemersatu bangsa,Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Nur Ali,2023-11-03T05:41:05.000Z,"Jika para pemangku amanah negara berkata menyambut demokrasi yg sejuk ,rukun dan gembira maka penghormatan tertinggi adalah Salam Sejahtera ,.",Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,IA Rahman,2023-11-01T12:31:16.000Z,"Indonesia Banget inimah 😁
Mantap pak 💪
Semoga kita senantiasa dalam Lindungan Tuhan Yang Maha Esa",Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Rudi Yanto,2023-11-03T13:26:40.000Z,Siapapun presidennya saya masih tetap kerja di Bengkel 🙏😅,Spam
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,Yusuf Gelora,2023-10-30T11:35:37.000Z,"Pertandingan itu hanya di kertas suara..
selebihnya Kita saudara 👍👍👍👍",Ham
https://www.facebook.com/PrabowoSubianto/posts/pfbid0VoqZHrkjfbfyX7zZr5PimVutoMwLHMRE9RrQXi25SybE7BMzU7eD57ho6AQsGfwQl,HrMn Kurniawn,2023-11-02T01:34:20.000Z,Bagi saya siapapun presidennya sing penting Indonesian makmur tekan angka pengangguran stop Koropsi 🙏🙏,Ham
