label,text,preprocessing-result
Ham,"Banyak yg minta kehadirannya keberbagai wilayah mereka agar mungkin dapat melihat secara langsung situasi kondisi keadaan wilayahnya,sayangnya beliau hanya manusia biasa yg jg pasti punya batas kemampuan tenaganya utk meninjau satu persatu,ttpi mungkin dgn pikiran dan program2 beliau bs menjadi kepanjangan tangan utk hal itu,krn keterbatasan waktu menjabatnya hanya 2 priode..jika diberi kesampatan lebih mungkin beliau dapat menyelesaikan permasalahan yg terjdi utk indonesia lbh maju lagi..terima kasih utk pak jokowi,.is the best","['yg', 'hadir', 'bagai', 'wilayah', 'langsung', 'situasi', 'kondisi', 'wilayah', 'sayang', 'beliau', 'manusia', 'yg', 'jg', 'batas', 'mampu', 'tenaga', 'utk', 'tinjau', 'satu', 'ttpi', 'dgn', 'pikir', 'program', 'beliau', 'bs', 'panjang', 'tangan', 'utk', 'krn', 'batas', 'jabat', 'priode', 'sampat', 'beliau', 'selesai', 'masalah', 'yg', 'terjdi', 'utk', 'indonesia', 'lbh', 'maju', 'terima', 'kasih', 'utk', 'jokowi', 'is', 'the', 'best']"
Ham,Asal harganya terjangkau masyarakat pasti mau naik KCJB ini Pak.. 😊,"['harga', 'jangkau', 'masyarakat', 'kcjb']"
Ham,Mantap pake banget lagi 👍👍👍👍👍,"['mantap', 'pake', 'banget']"
Ham,Keren pak 👍👍👍,['keren']
Spam,Every family has that 1 person who brakes the circle of financially struggles for the entire family and dat person is u reading this,"['every', 'family', 'has', 'that', 'person', 'who', 'brakes', 'the', 'circle', 'of', 'financially', 'struggles', 'for', 'the', 'entire', 'family', 'and', 'dat', 'person', 'is', 'u', 'reading', 'this']"
Ham,Keren Alhamdulillah Indonesia dah lbh maju transportasinya semoga Akan tersambung kedaerah2 lainya diseluruh Indonesia,"['keren', 'alhamdulillah', 'indonesia', 'dah', 'lbh', 'maju', 'transportasi', 'moga', 'sambung', 'daerah', 'lai', 'seluruh', 'indonesia']"
Spam,Pak turun ke rempang saat ini msalh rempang prioritas dengarkan jeritan masyarakat disana,"['turun', 'rempang', 'msalh', 'rempang', 'prioritas', 'dengar', 'jerit', 'masyarakat', 'sana']"
Spam,Semoga penggantinya nanti bisa melanjutkan program program yang sudah dilaksanakan .tentunya yang baik di lanjutkan yang kurang baik dievaluasi.,"['moga', 'ganti', 'lanjut', 'program', 'program', 'laksana', 'lanjut', 'evaluasi']"
Ham,Sukses  bapak presiden......utk pembangunan dan transportasi.....utk memudahkan perjalanan,"['sukses', 'presiden', 'utk', 'bangun', 'transportasi', 'utk', 'mudah', 'jalan']"
Ham,"Kreen pak presidenku
Sehat2 sllu ya🤲🤲👍👍","['kreen', 'presiden', 'sehat', 'sllu', 'ya']"
